first_name,last_name,round,teetime,pos,round1.topar,topar,total,round1.total,hole01,hole02,hole03,hole04,hole05,hole06,hole07,hole08,hole09,hole10,hole11,hole12,hole13,hole14,hole15,hole16,hole17,hole18,round2.topar,round2.total,round3.topar,round3.total,round4.topar,round4.total
Tiger,Woods,1,9:20 AM,1,-2,-13,275,70,4,4,4,3,5,3,4,5,3,4,4,3,4,3,5,3,5,4,NA,NA,NA,NA,NA,NA
Dustin,Johnson,1,8:47 AM,T2,-4,-12,276,68,4,4,4,3,4,3,4,4,4,5,3,3,4,4,5,2,4,4,NA,NA,NA,NA,NA,NA
Xander,Schauffele,1,8:58 AM,T2,-4,-12,276,73,3,4,5,3,5,3,4,5,3,4,5,3,4,5,4,3,4,6,NA,NA,NA,NA,NA,NA
Brooks,Koepka,1,9:09 AM,T2,-2,-12,276,66,4,4,4,3,4,3,4,5,4,3,4,2,4,3,4,3,4,4,NA,NA,NA,NA,NA,NA
Jason,Day,1,8:14 AM,T5,-5,-11,277,70,5,4,4,3,4,3,4,4,4,4,4,3,4,4,5,2,5,4,NA,NA,NA,NA,NA,NA
Webb,Simpson,1,9:09 AM,T5,-2,-11,277,72,4,6,3,3,4,3,5,4,4,5,4,3,3,4,5,3,5,4,NA,NA,NA,NA,NA,NA
Francesco,Molinari,1,9:20 AM,T5,+2,-11,277,70,4,4,4,3,4,3,4,5,4,4,5,3,5,4,4,3,4,3,NA,NA,NA,NA,NA,NA
Tony,Finau,1,9:20 AM,T5,E,-11,277,71,4,5,4,4,4,3,4,4,4,4,4,3,4,4,4,3,5,4,NA,NA,NA,NA,NA,NA
Jon,Rahm,1,8:25 AM,T9,-4,-10,278,69,4,5,3,2,5,3,4,6,3,4,3,3,4,4,5,3,4,4,NA,NA,NA,NA,NA,NA
Patrick,Cantlay,1,8:36 AM,T9,-4,-10,278,73,4,4,4,3,6,3,4,5,4,5,4,2,4,4,5,3,5,4,NA,NA,NA,NA,NA,NA
Rickie,Fowler,1,8:47 AM,T9,-3,-10,278,70,4,5,5,3,4,3,4,5,4,4,3,2,5,4,4,3,4,4,NA,NA,NA,NA,NA,NA
Bubba,Watson,1,8:14 AM,T12,-3,-8,280,72,4,5,4,3,4,4,4,4,4,4,4,3,5,5,4,3,4,4,NA,NA,NA,NA,NA,NA
Justin,Thomas,1,8:25 AM,T12,-2,-8,280,73,4,5,3,4,4,4,4,4,4,4,4,3,5,4,5,3,4,5,NA,NA,NA,NA,NA,NA
Matt,Kuchar,1,8:58 AM,T12,E,-8,280,71,4,4,4,3,4,3,4,5,4,4,5,3,3,4,6,4,4,3,NA,NA,NA,NA,NA,NA
Justin,Harding,1,8:58 AM,T12,E,-8,280,69,3,5,3,3,5,2,4,5,4,4,4,3,5,4,4,3,3,5,NA,NA,NA,NA,NA,NA
